CTUID,CT_Name,Pct_Owner_STIR_30plus,Median_Household_Income_2020
5350303.00,5350303.00,37.2,75000.0
5350304.01,5350304.01,20.0,75500.0
5350304.02,5350304.02,22.4,111000.0
5350304.03,5350304.03,25.7,116000.0
5350304.04,5350304.04,31.7,76500.0
5350304.05,5350304.05,36.0,89000.0
5350304.06,5350304.06,34.2,85000.0
5350305.01,5350305.01,29.0,132000.0
5350305.03,5350305.03,36.5,86000.0
5350305.05,5350305.05,40.7,75500.0
5350305.06,5350305.06,54.5,69000.0
5350306.01,5350306.01,40.7,95000.0
5350306.02,5350306.02,38.4,104000.0
5350307.03,5350307.03,39.6,69000.0
5350307.04,5350307.04,41.0,79000.0
5350307.05,5350307.05,37.9,68000.0
5350307.06,5350307.06,41.9,76000.0
5350307.07,5350307.07,46.1,90000.0
5350308.02,5350308.02,29.9,105000.0
5350308.03,5350308.03,30.5,137000.0
5350308.05,5350308.05,29.9,108000.0
5350308.06,5350308.06,37.3,68500.0
5350308.07,5350308.07,47.9,56000.0
5350309.00,5350309.00,26.8,76500.0
5350310.01,5350310.01,21.4,121000.0
5350310.02,5350310.02,25.9,88000.0
5350311.02,5350311.02,26.6,71500.0
5350311.03,5350311.03,17.9,84000.0
5350311.04,5350311.04,20.5,81000.0
5350311.05,5350311.05,35.0,75000.0
5350311.06,5350311.06,35.7,73500.0
5350312.02,5350312.02,23.4,75000.0
5350312.03,5350312.03,19.0,76500.0
5350312.04,5350312.04,21.6,68000.0
5350312.05,5350312.05,19.6,58800.0
5350312.06,5350312.06,20.8,75000.0
5350312.07,5350312.07,18.1,54800.0
5350313.00,5350313.00,20.7,85000.0
5350314.01,5350314.01,28.3,66500.0
5350314.02,5350314.02,21.1,86000.0
5350315.01,5350315.01,16.9,95000.0
5350315.02,5350315.02,30.3,69500.0
5350315.03,5350315.03,20.5,78500.0
5350316.01,5350316.01,20.9,83000.0
5350316.03,5350316.03,35.7,65500.0
5350316.04,5350316.04,42.2,50000.0
5350316.05,5350316.05,27.3,70500.0
5350316.06,5350316.06,23.7,63600.0
5350317.02,5350317.02,50.0,59200.0
5350317.03,5350317.03,19.9,106000.0
